tipo_atividade,distancia_percorrida,duracao_atividade,quantidade_calorias,createdAt,updatedAt,usuario_id
caminhada,5000,70,340,2024-08-14 19:15:11.453 +00:00,2024-08-14 19:15:11.453 +00:00,1
caminhada,4000,40,140,2024-08-14 19:15:54.438 +00:00,2024-08-14 19:15:54.438 +00:00,2
caminhada,3000,30,140,2024-08-14 19:16:09.149 +00:00,2024-08-14 19:16:09.149 +00:00,3
caminhada,3500,35,180,2024-08-14 19:16:24.636 +00:00,2024-08-14 19:16:24.636 +00:00,4
corrida,6500,40,280,2024-08-14 19:17:30.973 +00:00,2024-08-14 19:17:30.973 +00:00,1
corrida,5500,50,220,2024-08-14 19:17:47.106 +00:00,2024-08-14 19:17:47.106 +00:00,2
corrida,10000,24,420,2024-08-14 19:18:18.334 +00:00,2024-08-14 19:18:18.334 +00:00,3
corrida,5000,23,320,2024-08-14 19:18:41.149 +00:00,2024-08-14 19:18:41.149 +00:00,4
trilha,2000,40,420,2024-08-14 19:20:24.202 +00:00,2024-08-14 19:20:24.202 +00:00,1
trilha,3000,45,470,2024-08-14 19:20:43.688 +00:00,2024-08-14 19:20:43.688 +00:00,2
trilha,3500,45,420,2024-08-14 19:26:04.128 +00:00,2024-08-14 19:26:04.128 +00:00,3
trilha,5000,70,570,2024-08-14 19:26:23.865 +00:00,2024-08-14 19:26:23.865 +00:00,4
